date,lat_zone,lon_zone,msl_min,msl_mean,t2m_min_C,t2m_mean_C,latitude,longitude,impacto_dana
2023-01-17,43.5,2.0,98914.56,99273.419375,3.113920000000008,5.011711666666694,43.5,2.0,Alto riesgo
2023-01-17,43.5,2.25,98917.56,99278.64854166668,1.6940000000000168,3.736646666666689,43.5,2.25,Alto riesgo
2023-01-17,43.5,2.5,98921.56,99238.86729166668,1.1393000000000484,3.071039583333352,43.5,2.5,Alto riesgo
2023-01-17,43.5,2.75,98908.56,99171.14854166668,2.0357999999999947,3.8203075000000175,43.5,2.75,Alto riesgo
2023-01-17,43.5,3.0,98897.81,99098.606875,3.395170000000008,4.970779583333363,43.5,3.0,Alto riesgo
2023-01-17,43.5,3.25,98893.81,99073.21104166668,4.770170000000007,6.33332666666669,43.5,3.25,Alto riesgo
2023-01-17,43.5,3.5,98881.875,99064.97145833333,5.973299999999995,7.441400833333351,43.5,3.5,Alto riesgo
2023-01-17,43.5,3.75,98861.125,99051.356875,7.033839999999998,8.464511666666683,43.5,3.75,Alto riesgo
2023-01-17,43.5,4.0,98860.875,99051.19020833333,7.29946000000001,9.09927666666669,43.5,4.0,Alto riesgo
2023-01-17,43.5,4.25,98854.625,99048.46104166668,7.547500000000014,9.300775000000028,43.5,4.25,Alto riesgo
2023-01-17,43.5,4.5,98844.625,99047.34645833333,7.694000000000017,9.231685000000027,43.5,4.5,Alto riesgo
2023-01-17,43.5,4.75,98833.125,99045.46104166668,6.916650000000004,8.853835416666685,43.5,4.75,Alto riesgo
2023-01-17,43.5,5.0,98821.625,99042.888125,5.828760000000045,8.189608750000026,43.5,5.0,Alto riesgo
2023-01-17,43.75,-2.25,98999.56,99391.575625,6.959620000000029,9.218255416666697,43.75,-2.25,Alto riesgo
2023-01-17,43.75,-2.0,98981.25,99364.888125,7.279930000000036,9.492670000000023,43.75,-2.0,Alto riesgo
2023-01-17,43.75,-1.75,98956.5,99347.58604166668,7.293600000000026,9.44286500000002,43.75,-1.75,Alto riesgo
2023-01-17,43.75,-1.5,98943.25,99342.481875,6.619780000000048,9.079013333333355,43.75,-1.5,Alto riesgo
2023-01-17,43.75,-1.25,98949.0,99341.56520833333,5.069000000000017,7.794591250000022,43.75,-1.25,Alto riesgo
2023-01-17,43.75,-1.0,98926.56,99335.61729166668,4.229150000000004,6.996089166666685,43.75,-1.0,Alto riesgo
2023-01-17,43.75,-0.75,98908.31,99325.05479166668,4.038720000000012,6.606845833333352,43.75,-0.75,Alto riesgo
2023-01-17,43.75,-0.5,98893.31,99313.53395833333,3.853170000000034,6.289952083333358,43.75,-0.5,Alto riesgo
2023-01-17,43.75,-0.25,98888.56,99298.388125,3.798500000000047,6.032625833333358,43.75,-0.25,Alto riesgo
2023-01-17,43.75,0.0,98877.375,99282.49229166668,3.740870000000029,5.786533333333357,43.75,0.0,Alto riesgo
2023-01-17,43.75,0.25,98862.375,99271.919375,3.662740000000042,5.834957083333355,43.75,0.25,Alto riesgo
2023-01-17,43.75,0.5,98860.125,99260.56520833333,3.6490699999999943,5.802970416666682,43.75,0.5,Alto riesgo
2023-01-17,43.75,0.75,98863.875,99244.31520833333,3.619780000000048,5.7547145833333575,43.75,0.75,Alto riesgo
2023-01-17,43.75,1.0,98872.31,99231.80479166668,3.813130000000001,5.841302083333353,43.75,1.0,Alto riesgo
2023-01-17,43.75,1.25,98878.06,99226.80479166668,3.908839999999998,5.812412500000019,43.75,1.25,Alto riesgo
2023-01-17,43.75,1.5,98886.81,99217.47145833333,4.094400000000007,5.797926250000025,43.75,1.5,Alto riesgo
2023-01-17,43.75,1.75,98881.31,99221.59645833333,4.117819999999995,5.829664583333354,43.75,1.75,Alto riesgo
2023-01-17,43.75,2.0,98881.56,99228.950625,3.3268000000000484,5.250074583333356,43.75,2.0,Alto riesgo
2023-01-17,43.75,2.25,98876.56,99239.27354166668,1.6569000000000074,3.898189166666688,43.75,2.25,Alto riesgo
2023-01-17,43.75,2.5,98890.06,99223.075625,0.4361800000000357,2.552565000000025,43.75,2.5,Alto riesgo
2023-01-17,43.75,2.75,98902.81,99196.83604166668,0.0885300000000484,2.0091095833333625,43.75,2.75,Alto riesgo
2023-01-17,43.75,3.0,98907.31,99131.763125,0.8072800000000484,2.498692083333348,43.75,3.0,Alto riesgo
2023-01-17,43.75,3.25,98901.06,99087.74229166668,2.25454000000002,3.8367445833333584,43.75,3.25,Alto riesgo
2023-01-17,43.75,3.5,98849.125,99044.64854166668,3.072400000000016,4.772620000000027,43.75,3.5,Alto riesgo
2023-01-17,43.75,3.75,98810.625,99020.106875,4.217430000000036,6.031489166666681,43.75,3.75,Alto riesgo
